DATE,home_price,mortgage_rate,unemployment,housing_supply,building_permits,cpi
2004-01-01,141.64700000000002,5.68,5.7,3.8,1952,186.3
2004-02-01,143.192,5.58,5.6,3.7,1966,186.7
2004-03-01,145.058,5.4,5.8,3.6,2066,187.1
2004-04-01,146.593,6.01,5.6,4.0,2070,187.4
2004-05-01,148.186,6.32,5.6,3.8,2150,188.2
2004-06-01,149.852,6.25,5.6,3.9,2020,188.9
2004-07-01,151.339,6.08,5.5,4.5,2112,189.1
2004-08-01,152.635,5.82,5.4,4.3,2056,189.2
2004-09-01,154.18,5.72,5.4,4.1,2041,189.8
2004-10-01,155.752,5.64,5.5,3.9,2097,190.8
2004-11-01,157.529,5.72,5.4,4.3,2079,191.7
2004-12-01,159.332,5.81,5.4,4.1,2082,191.7
2005-01-01,161.289,5.66,5.3,4.4,2139,191.6
2005-02-01,163.346,5.69,5.4,4.3,2114,192.4
2005-03-01,165.81400000000002,6.04,5.2,4.1,2062,193.1
2005-04-01,167.503,5.78,5.2,4.3,2150,193.7
2005-05-01,169.352,5.65,5.1,4.2,2085,193.6
2005-06-01,171.192,5.53,5.0,4.3,2178,193.7
2005-07-01,172.861,5.77,5.0,4.2,2203,194.9
2005-08-01,174.44400000000002,5.77,4.9,4.5,2219,196.1
2005-09-01,176.438,5.91,5.0,4.7,2263,198.8
2005-10-01,178.028,6.15,5.0,4.5,2170,199.1
2005-11-01,179.68200000000002,6.28,5.0,5.0,2218,198.1
2005-12-01,180.911,6.22,4.9,4.9,2120,198.1
2006-01-01,182.321,6.12,4.7,5.3,2212,199.3
2006-02-01,183.288,6.26,4.8,6.1,2141,199.4
2006-03-01,184.364,6.35,4.7,5.9,2118,199.7
2006-04-01,184.329,6.58,4.7,6.3,1998,200.7
2006-05-01,184.155,6.62,4.6,6.2,1905,201.3
2006-06-01,183.507,6.78,4.6,6.3,1867,201.8
2006-07-01,183.066,6.72,4.7,7.3,1763,202.9
2006-08-01,182.594,6.44,4.7,6.7,1722,203.8
2006-09-01,182.798,6.31,4.5,6.7,1655,202.8
2006-10-01,183.198,6.4,4.4,7.3,1570,201.9
2006-11-01,183.608,6.14,4.5,6.6,1535,202.0
2006-12-01,184.139,6.18,4.4,6.5,1638,203.1
2007-01-01,184.517,6.25,4.6,7.2,1626,203.437
2007-02-01,184.599,6.22,4.5,7.9,1598,204.226
2007-03-01,184.151,6.16,4.4,7.9,1596,205.288
2007-04-01,183.011,6.16,4.5,7.4,1470,205.904
